original_id,source_job,new_name
1140,b81df3dc6825 - 6,my godfather tyrell
1141,b81df3dc6825 - 6,just got out
1142,b81df3dc6825 - 6,my aunt kylie
1143,b81df3dc6825 - 6,gotta meet yesenia
1144,b81df3dc6825 - 6,gotta talk to
1145,b81df3dc6825 - 6,need to fix
1146,b81df3dc6825 - 6,i need to
1147,b81df3dc6825 - 6,omari my bf
1148,b81df3dc6825 - 6,james my running
1149,b81df3dc6825 - 6,lawyer appt
1150,b81df3dc6825 - 6,drop off at
1151,b81df3dc6825 - 6,my new client
1152,b81df3dc6825 - 6,gotta get tickets
1153,b81df3dc6825 - 6,i got a
1154,b81df3dc6825 - 6,gotta meet wiith
1155,b81df3dc6825 - 6,thank god holiday
1156,b81df3dc6825 - 6,need aquarium tickets
1157,b81df3dc6825 - 6,otis my lead
1158,b81df3dc6825 - 6,gotta meeet charlote
1159,b81df3dc6825 - 6,gotta ask my
1160,b81df3dc6825 - 6,gotta pick up toools
1161,b81df3dc6825 - 6,just got to
1162,b81df3dc6825 - 6,my cousin stevie
1163,b81df3dc6825 - 6,my mom baileey
1164,b81df3dc6825 - 6,concert tix
1165,b81df3dc6825 - 6,gonna meet my
1167,b81df3dc6825 - 6,need to mil
1168,b81df3dc6825 - 6,javier my bro
1169,b81df3dc6825 - 6,gotta pick up kids
1170,b81df3dc6825 - 6,need 2 pay
1171,b81df3dc6825 - 6,my realtor soren
1172,b81df3dc6825 - 6,my mom tessa
1173,b81df3dc6825 - 6,my grandpa xavier
1174,b81df3dc6825 - 6,wanna cancel gym
1175,b81df3dc6825 - 6,mary my direct
1176,b81df3dc6825 - 6,gotta reschedule dmv
1177,b81df3dc6825 - 6,gotta pick up more
1178,b81df3dc6825 - 6,tyler my stepdad
1179,b81df3dc6825 - 6,kai my babe
1180,b81df3dc6825 - 6,gotta talk to my
1181,b81df3dc6825 - 6,aurora my client
1182,b81df3dc6825 - 6,got hotel booking
1183,b81df3dc6825 - 6,my landscaper maddox
1184,b81df3dc6825 - 6,gotta schedule appt
1185,b81df3dc6825 - 6,gotta caall ramon
1186,b81df3dc6825 - 6,my step kid
1187,b81df3dc6825 - 6,gotta cancel gym
1188,b81df3dc6825 - 6,need to renew
1189,b81df3dc6825 - 6,madelyn my small
1190,b81df3dc6825 - 6,ty my son
1191,b81df3dc6825 - 6,onyx my sitter
1192,b81df3dc6825 - 6,game night woes
1193,b81df3dc6825 - 6,need to pack sunscreen
1194,b81df3dc6825 - 6,need combo for
1195,b81df3dc6825 - 6,ashley the lady
1196,b81df3dc6825 - 6,gotta drop off
1197,b81df3dc6825 - 6,get meds for
1198,b81df3dc6825 - 6,my aunt maya
1199,b81df3dc6825 - 6,lowkey steamed at
1200,b81df3dc6825 - 6,my intwrn lincoln
1201,b81df3dc6825 - 6,just got report
1202,b81df3dc6825 - 6,need to ask ignacio
1204,b81df3dc6825 - 6,gotta meet major
1205,b81df3dc6825 - 6,gotta get oil
1206,b81df3dc6825 - 6,mama beatriiz helpped
1207,b81df3dc6825 - 6,geting to practice
1208,b81df3dc6825 - 6,manuel my colleague
1209,b81df3dc6825 - 6,need to pickup
1210,b81df3dc6825 - 6,need to reschedule
1211,b81df3dc6825 - 6,gonnabe alot of
1212,b81df3dc6825 - 6,gonna drop off
1213,b81df3dc6825 - 6,gotta get oil change
1214,b81df3dc6825 - 6,nico my dad
1215,b81df3dc6825 - 6,my son cesar
1216,b81df3dc6825 - 6,katherine my cuz
1217,b81df3dc6825 - 6,my mom fernanda
1218,b81df3dc6825 - 6,marquis my dad
1219,b81df3dc6825 - 6,gotta meet layla
1220,b81df3dc6825 - 6,playdate at home
1221,b81df3dc6825 - 6,need to cakl
1222,b81df3dc6825 - 6,my son francisco
1223,b81df3dc6825 - 6,got new job
1224,b81df3dc6825 - 6,gotta pick up vitqmins
1225,b81df3dc6825 - 6,my intern saniyah
1226,b81df3dc6825 - 6,need to review
1227,b81df3dc6825 - 6,gotta pick up milk
1228,b81df3dc6825 - 6,need to send
1229,b81df3dc6825 - 6,need consult with
1230,b81df3dc6825 - 6,gotta review nurses
1231,b81df3dc6825 - 6,gotta thank my
1232,b81df3dc6825 - 6,need to call my dad
1233,b81df3dc6825 - 6,need to run
1234,b81df3dc6825 - 6,need to get gift
1235,b81df3dc6825 - 6,gotta tell my
1236,b81df3dc6825 - 6,papa oscar gave
1237,b81df3dc6825 - 6,need to get key
1239,b81df3dc6825 - 6,nico my dad is
1240,b81df3dc6825 - 6,just found out
1241,b81df3dc6825 - 6,need booking code
1242,b81df3dc6825 - 6,gotta review my
1243,b81df3dc6825 - 6,gotta pick up lottery
1244,b81df3dc6825 - 6,catalina my best
1245,b81df3dc6825 - 6,gotta call my bddy
1246,b81df3dc6825 - 6,meal prep containers
1247,b81df3dc6825 - 6,my gym friend
1248,b81df3dc6825 - 6,pilar my aunt
1249,b81df3dc6825 - 6,gotta practice guitar
1250,b81df3dc6825 - 6,gotta call spectrum
1251,b81df3dc6825 - 6,oscar my dad
1252,b81df3dc6825 - 6,need to pause
1253,b81df3dc6825 - 6,ezra my step
1254,b81df3dc6825 - 6,talking to my
1255,b81df3dc6825 - 6,need to ask my sister
1256,b81df3dc6825 - 6,gotta hit up
1257,b81df3dc6825 - 6,zara my girlfreind
1258,b81df3dc6825 - 6,my mom is
1259,b81df3dc6825 - 6,aunt dukce keeps
1260,b81df3dc6825 - 6,gotta stop by
1261,b81df3dc6825 - 6,messiah update
1262,b81df3dc6825 - 6,my co parent
1263,b81df3dc6825 - 6,gotta pick up quinn
1264,b81df3dc6825 - 6,mayas my supplier
1265,b81df3dc6825 - 6,gotta tell luna
1266,b81df3dc6825 - 6,parker my frieend
1267,b81df3dc6825 - 6,my youth leader
1268,b81df3dc6825 - 6,need to prep
1269,b81df3dc6825 - 6,i need to hit
1270,b81df3dc6825 - 6,need to ask my partner
1271,b81df3dc6825 - 6,noah my step
1272,b81df3dc6825 - 6,lyra loves watcjing
1273,b81df3dc6825 - 6,gotta meet with
1274,b81df3dc6825 - 6,gotta pick up kids from
1275,b81df3dc6825 - 6,landon my father
1276,b81df3dc6825 - 6,my sister madeline
1277,b81df3dc6825 - 6,zoey my kids
1279,b81df3dc6825 - 6,my step kid indie
1280,b81df3dc6825 - 6,gotta pacck my
1281,b81df3dc6825 - 6,gerardo my soccer
1282,b81df3dc6825 - 6,gotta talk to makenzie
1283,b81df3dc6825 - 6,gotta conirm party
